First Name (required),Last Name (required),Title,Company,Description,Image URL,Website,Twitter Handle,Facebook URL,LinkedIn URL,Session IDs,Attendee ID,Speaker ID,
Gregory,Abram,,University of Texas,,,,,,,,,gregory-abram,"SUBSTITUTE(CONCATENATE(LOWER(A3),"" "",LOWER(B3)),"" "",""-"")"
Rebekah,Anderson,,Ohio Department of Transportation,,,,,,,,,rebekah-anderson,
Jackson,Archer,,University of Texas,,,,,,,,,jackson-archer,
Sebastian,Astroza,,University of Texas,,,,,,,,,sebastian-astroza,
Uri,Avin,,University of Maryland,,,,,,,,,uri-avin,
Cemal,Ayvalik,,Cambridge Systematics,,,,,,,,,cemal-ayvalik,
Daniel,Beagan,,Cambridge Systematics,,,,,,,,,daniel-beagan,
Tyler,Behuhn,,Kimley-Horn,,,,,,,,,tyler-behuhn,
Vince,Bernardin,,RSG,,,,,,,,,vince-bernardin,
Noel,Berry,,WSP Parsons Brinckerhoff,,,,,,,,,noel-berry,
Alexander,Bettinardi,,Oregon Department of Transportation,,,,,,,,,alexander-bettinardi,
Chandra,Bhat,,University of Texas,,http://www.ce.utexas.edu/prof/bhat/Bhat_large_08.jpg,http://www.ce.utexas.edu/prof/bhat/home.html,,,,,,chandra-bhat,
Shailen,Bhatt,Executive Director,Colorado Department of Transportation,,https://www.codot.gov/about/assets/shailen-bhatt,https://www.codot.gov/about/executive-director,,,,,,shailen-bhatt,
Yehoshua,Birotker,,Jerusalem Transportation Master Plan Team,,,,,,,,,yehoshua-birotker,
Eitan,Bluer,,Jerusalem Transportation Master Plan Team,,,,,,,,,eitan-bluer,
Mark,Bradley,,RSG,,,,,,,,,mark-bradley,
Stacey,Bricka,,ETC Institute,,,,,,,,,stacey-bricka,
Andrew,Campbell,,San Francisco County Transportation Authority,,,,,,,,,andrew-campbell,
Joe,Castiglione,,San Francisco County Transportation Authority,,,,,,,,,joe-castiglione,
Billy,Charlton,,Puget Sound Regional Council,,,,,,,,,billy-charlton,
Chin-Cheng,Chen,,State of Tennessee,,,,,,,,,chin-cheng-chen,
Suzanne,Childress,,Puget Sound Regional Council,,,,,,,,,suzanne-childress,
Stefan,Coe,,Puget Sound Regional Council,,,,,,,,,stefan-coe,
Matthew,Coogan,,New England Transportation Institute,,,,,,,,,matthew-coogan,
